1,12272,2617,167,11591,12778,12883,11052,7115,10454,4707,1887,7558,4468,10758,6973,6681,10459,7335,1584,11565,4825,7002,10865,1024,611,9682,6355,12586,794,181,10889,8470,2110,9486,7659,10886,1618,695,3833,11608,12320,4135,8399,4671,8737,5104,10937,12224,6872,6181,9806,1925,8430,3316,1758,2192,5669,11144,12807,1022,2703,10810,1893,2762,6344,9913,10294,11513,8922,5575,1904,11771,735,6512,7490,11603,5711,6006,5478,8749,12499,10505,10575,7144,3603,12123,4208,3976,9380,2236,4332,8775,12547,1653,6372,2273,2868,429,7230,4137
2,8060,11328,2878,5393,6453,2035,11890,5516,10889,6066,11562,438,7543,2968,4037,13030,5104,8763,3067,11147,10288,12489,8421,4642,12833,9480,9911,295,2853,9837,8025,6227,10538,7656,3423,2023,567,169,1355,9157,3781,1309,10098,1998,865,10756,12843,8231,7710,13091,7308,5975,1849,8864,2597,11865,11385,12325,11150,4641,9306,5892,6203,12186,261,6893,4805,11018,12611,9244,8825,3481,9706,5229,1887,7575,6008,11512,11716,199,7416,7145,7908,5289,771,2414,8855,12310,2706,12083,3626,9913,11043,5011,3667,9918,11358,4619,3880,5789
3,8099,11840,1887,2756,12012,6284,13039,1698,12611,1078,5507,1569,6509,4005,11878,9483,11749,4055,6907,6512,10886,11976,4380,588,1452,9921,6450,1017,4713,9010,4572,10571,28,12938,1663,1735,5223,3398,309,816,5977,7487,11529,1946,13050,1604,10033,2593,653,9373,9310,4744,10575,8122,5384,1554,5516,4914,2281,6776,1584,12896,4039,7200,5768,5059,10413,1192,9548,4641,4056,10937,10368,12378,3372,1497,13088,2696,860,4459,8374,1621,9999,2726,2618,4250,2889,6412,6823,3962,10132,5032,680,5264,9489,9042,2072,1605,7406,3024
4,9720,2325,7918,5131,10810,5002,9579,10319,5887,7944,5529,1659,10585,1318,12317,3316,12088,5128,9438,4954,10368,8834,12886,8435,8737,5150,10051,6233,8293,6512,9430,13039,9427,4540,6102,9164,11430,9571,11678,10098,2992,11689,4683,12383,5534,11976,2593,2726,1968,6935,1916,1444,12330,3714,2530,41,9674,12673,11500,10522,8135,11195,8428,10557,7343,6391,4975,1475,4619,9994,867,476,5768,10162,3069,12079,3731,12677,12938,11225,2035,11371,3674,6171,3167,3557,10038,12581,11260,4548,11088,3323,7600,10757,11748,7315,2928,1998,11149,3125
5,4482,5234,10154,70,1522,1621,11984,8064,9179,9259,11565,11597,11140,4684,12265,3508,7335,2035,10360,7045,1552,5819,4205,590,10571,8374,6678,3069,5190,8749,12120,1681,10310,3926,11305,8437,10657,3381,11400,6471,8292,12692,8580,12768,2381,11661,10886,655,6697,7986,1873,796,1845,4617,7504,2845,7558,5962,193,7401,3782,6700,9063,2066,8879,7276,5746,12393,4087,12484,8296,7383,11560,11582,254,7178,6484,8259,2325,12489,1849,11174,3814,3089,755,9706,4440,11277,583,1789,721,7940,9380,9895,5771,492,10316,10139,4900,3316
6,1460,2110,7335,12332,1818,2992,3410,5833,8775,8374,9096,8006,2201,4039,7656,1725,3823,11536,8730,8798,7737,10575,5424,10392,8717,11784,4330,8345,3245,10616,10181,5516,12330,406,4479,629,3039,9202,4247,1017,3782,5935,12673,5956,6045,6031,9548,2063,1062,10382,1159,9298,5951,8911,1570,7943,2286,10000,4893,6823,4680,1529,6963,8790,1177,567,5973,22,5544,11582,12638,3349,8322,5507,12584,10886,12807,2662,4346,6226,4579,11019,8524,7127,7113,1998,656,9244,7141,8259,9328,12079,4229,4502,11430,7556,11777,11604,11253,11996
7,6630,3925,1173,6882,5078,8435,4330,6778,3133,1769,9279,12788,6437,2110,5956,2004,11527,1522,2553,2995,1565,8050,295,10495,1877,433,3412,8333,1545,13074,756,2992,11772,4053,1871,4816,6971,12427,5516,7335,10597,11689,11902,1286,2312,1840,1595,7645,3688,12857,10491,2527,4365,9513,9800,9096,856,1061,701,5208,11889,7081,7954,256,1894,2575,11505,10689,1946,5626,10422,8981,3656,9777,13003,10229,9205,11432,10540,6150,8675,2583,11936,10749,438,8880,8717,8273,9913,6281,1529,10886,5547,8696,8190,8763,3481,9602,6963,2953
8,2876,3957,7920,3487,9337,3069,1461,368,12256,1177,8633,6055,11311,6129,5852,12765,9367,6783,12224,12339,1380,7308,8710,2365,10294,11118,12079,10088,990,1333,7281,6303,12489,12308,7508,4445,12984,8738,10240,12941,10886,12685,8190,5785,3249,5547,12282,4033,5672,2571,5532,7571,1389,5930,5473,2264,8259,11565,7343,5124,2356,5064,10771,11828,7384,9286,8537,4076,2371,8666,4546,1497,7377,629,3557,1529,1840,878,7656,1591,12146,5566,273,8485,3540,5956,1022,9489,3641,12724,4599,9913,11582,8749,5911,4416,3811,10730,2941,3247
9,2696,12185,2110,11513,1621,7397,7366,3646,7968,1892,2605,3326,9256,7620,965,5820,11268,4510,12586,8294,8911,889,5098,5208,3356,6534,1159,9204,2190,7322,5032,3351,12071,9147,3781,2758,9874,6892,9977,10539,9872,11837,10616,1412,7383,8031,6363,7426,1212,10889,7466,10484,6911,12745,6629,7656,6844,11119,122,9454,3870,5348,3478,116,621,6183,11661,11299,2044,2746,2300,11430,5948,4653,521,8798,11215,3487,3641,5124,8209,13039,11984,4714,5677,1671,7288,3667,1072,8133,588,11017,12033,6281,295,8730,5612,5078,3764,3955
10,8060,9521,3456,9895,7339,10690,1544,3631,3308,5626,7025,12929,7417,8169,3211,11260,6321,2853,4764,4634,8242,9727,12393,7274,10422,2313,4178,11311,3395,6038,2097,3826,8076,2339,4858,11728,7045,7999,12979,137,6963,10229,3635,12103,10540,5853,9180,6025,9358,9943,12647,2527,5977,7260,12183,2607,5516,5768,7257,5791,12247,11754,2281,7507,7656,5186,9156,5474,10132,2623,8320,12020,2519,10471,3454,4632,2828,6355,7968,4641,7162,1606,7248,12278,2820,12848,6300,2893,690,10497,8321,655,11351,8190,2798,3677,1905,11926,10482,4222
